,,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,MeanWaveDirection,Hmax,AirTemperature,DewPoint,SeaTemperature,RelativeHumidity
,,avail,avail,avail,avail,avail,avail,avail,avail,avail,avail,avail,avail
station_id,Date,,,,,,,,,,,,
Belmullet-AMETS,2011-05-12,54.1666666667,54.1666666667,54.1666666667,54.1666666667,54.1666666667,54.1666666667,54.1666666667,54.1666666667,54.1666666667,0.0,54.1666666667,54.1666666667
Belmullet-AMETS,2011-05-13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-20,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-23,100.0,100.0,95.8333333333,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-25,95.8333333333,95.8333333333,91.6666666667,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333
Belmullet-AMETS,2011-05-26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-05-31,100.0,100.0,83.3333333333,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-01,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333
Belmullet-AMETS,2011-06-02,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667,0.0,91.6666666667,91.6666666667
Belmullet-AMETS,2011-06-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-06,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-07,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-08,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-09,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-15,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333
Belmullet-AMETS,2011-06-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-20,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-27,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667,0.0,91.6666666667,91.6666666667
Belmullet-AMETS,2011-06-28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-06-30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-03,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,0.0,70.8333333333,70.8333333333
Belmullet-AMETS,2011-07-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-06,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-07,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333
Belmullet-AMETS,2011-07-08,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-09,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-10,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333
Belmullet-AMETS,2011-07-11,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,0.0,83.3333333333,83.3333333333
Belmullet-AMETS,2011-07-12,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,0.0,70.8333333333,70.8333333333
Belmullet-AMETS,2011-07-13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-20,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333
Belmullet-AMETS,2011-07-21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-07-30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
